Fundos,Setor,Liquidez Diária (R$),P/VP,Dividend Yield,Variação Preço,Patrimônio Líquido,Num. Cotistas
BRZP11,,"585.487,33",,"0,71 %","-9,07 %",,0
BTAG11,Indefinido,"436.004,10",,"1,49 %","-5,62 %",,0
BTAL11,Imóveis Industriais e Logísticos,"585.896,19",61.0,"1,17 %","-0,75 %","671.669.756,00",41.608
BTCI11,Papéis,"2.325.061,76",81.0,"1,10 %","-9,00 %","995.855.831,35",178.871
BTCR11,Papéis,"135.987,62",138.0,"0,98 %","-5,96 %","118.155.565,38",8.102
BTHF11,Papéis,,,"0,00 %","0,00 %","2.123.575.678,23",10.811
BTHI11,Hotéis,"38.502,86",66.0,"0,92 %","15,86 %","582.374.006,20",1.194
BTLG11,Imóveis Industriais e Logísticos,"10.028.232,48",88.0,"0,81 %","0,87 %","4.494.781.893,66",365.839
BTML11,Lajes Corporativas,,88.0,"0,79 %","0,00 %","131.207.174,94",1
BTRA11,Indefinido,"539.778,67",37.0,"0,76 %","5,28 %","372.370.898,52",14.595
BTSG11,Imóveis Industriais e Logísticos,2891,109.0,"0,60 %","-0,59 %","112.592.103,04",107
BTSI11,Misto,533,104.0,"0,67 %","-0,67 %","499.181.542,39",176
BTWR11,Fundo de Desenvolvimento,"24.599,24",93.0,"0,61 %","0,00 %","92.051.642,77",120
BTYU11,Incorporações,"171.491,71",98.0,"0,00 %","0,00 %","306.183.962,61",156
BZEL11,Misto,,,"0,00 %","0,00 %","507.455.659,93",3
CACR11,Papéis,"2.136.176,24",82.0,"1,39 %","-3,83 %","471.437.432,52",24.997
CARE11,Misto,"128.341,38",19.0,"0,23 %","-2,63 %","249.719.125,29",11.719
CBOP11,Lajes Corporativas,"12.337,90",31.0,"0,21 %","-2,23 %","101.541.498,11",2.515
CCME11,Indefinido,"563.055,81",78.0,"0,98 %","-11,21 %","710.243.260,93",4.830
CCRF11,Papéis,"1.276,82",145.0,"0,00 %","0,00 %","118.155.565,38",8.102
CCVA11,Indefinido,"159.202,27",98.0,"0,00 %","0,00 %","62.219.445,87",1
CDII11,Indefinido,"7.374.516,19",,"0,94 %","-6,61 %",,0
CEOC11,Lajes Corporativas,"27.477,57",55.0,"1,20 %","-3,63 %","131.426.196,64",4.501
CFHI11,Fundo de Desenvolvimento,3033,99.0,"0,00 %","0,00 %","61.120.707,03",103
CFII11,Indefinido,"6.250,00",91.0,"0,00 %","0,00 %","128.910.186,16",107
CIXM11,Misto,"220.499,50",24.0,"0,00 %","0,00 %","228.796.538,66",108
CJCT11,Lajes Corporativas,"10.991,14",68.0,"0,17 %","-4,47 %","225.510.031,79",966
CLIN11,Fundo de Fundos,"1.511.474,33",81.0,"1,19 %","-10,73 %","422.961.145,51",11.389
CNES11,Lajes Corporativas,"94.062,29",14.0,"0,57 %","-10,16 %","262.037.861,86",108.813
